index,Airline,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes),Month,Month_num,Passengers_In,Passengers_Out,Port_Country,Year,_id
25323,Air New Zealand,1600.432,1620.528,150.767,57.071999999999996,44044,8,2532,6311,New Zealand,2020,42572
25390,Qantas Airways,0.0,0,0.0,0.0,44105,10,0,0,Philippines,2020,42778
25410,Federal Express Corporation,3591.4959999999996,0,0.0,0.0,44044,8,0,0,USA,2020,42599
25621,United Parcel Service,0.0,250.776,0.0,0.0,44013,7,0,0,Korea,2020,42562
25686,Qantas Airways,111.087,119.806,0.0,0.0,44075,9,0,0,Japan,2020,42695
25805,Air Caledonie International,3.449,91.729,0.284,4.1739999999999995,44075,9,52,67,New Caledonia,2020,42646
25890,United Parcel Service,0.0,74.614,0.0,0.0,44075,9,0,0,China,2020,42712
25916,Qantas Airways,0.0,0,0.0,0.0,44136,11,0,0,Korea,2020,42855
25923,China Eastern Airlines,596.9259999999999,672.621,0.0,0.0,44013,7,307,1605,China,2020,42514
25940,Polar Air Cargo,0.0,141.351,0.0,0.0,44136,11,0,0,New Zealand,2020,42851
25969,Tasman Cargo Airlines,1168.329,1021.2,0.0,0.0,44105,10,0,0,New Zealand,2020,42790
26131,Qatar Airways,2474.601,3817.786,173.86599999999999,75.45100000000001,44136,11,3438,5202,Qatar,2020,42862
26260,LATAM Airlines,52.305,27.927,0.0,0.0,44075,9,0,0,Chile,2020,42683
26267,United Airlines,110.37,91.25,25.066,47.147,44105,10,0,0,New Zealand,2020,42792
26270,China Southern Airlines,1056.583,724.346,101.287,0.0,44105,10,366,3601,China,2020,42735
26862,Qantas Airways,289.89799999999997,1104.717,0.0,0.0,44105,10,0,0,China,2020,42773
26919,LATAM Airlines,0.0,33.233,0.0,0.0,44075,9,0,0,New Zealand,2020,42684
26992,Japan Airlines,127.819,257.259,61.254,2.967,44013,7,0,0,Japan,2020,42530
27099,Federal Express Corporation,0.0,3166.075,0.0,0.0,44013,7,0,0,China,2020,42524
27146,Emirates,8.686,83.062,0.0,0.0,44013,7,0,0,New Zealand,2020,42518
27184,Fiji Airways,236.982,150.514,1.8840000000000001,10.725999999999999,44105,10,93,165,Fiji,2020,42752
27283,Qantas Airways,0.0,220.757,0.0,0.0,44105,10,0,0,Thailand,2020,42780
27375,Kalitta Air,1587.384,0,0.0,0.0,44105,10,0,0,USA,2020,42760
27527,Qantas Airways,1642.049,29.126,12.311,0.0,44136,11,0,0,USA,2020,42859
27689,Air New Zealand,871.799,1609.942,68.40100000000001,0.49,44136,11,4151,3741,New Zealand,2020,42804
27708,All Nippon Airways,234.512,180.151,3.305,0.0,44044,8,392,956,Japan,2020,42577
27740,Pacific Air Express,0.0,29.616,0.0,0.0,44136,11,0,0,Papua New Guinea,2020,42846
27890,Scoot Tigerair,539.844,481.85,0.0,0.0,44013,7,213,288,Singapore,2020,42553
28080,Emirates,0.0,29.824,0.0,3.5839999999999996,44105,10,0,0,Philippines,2020,42741
28442,Qantas Airways,1496.29,7.632,11.642000000000001,0.0,44044,8,0,0,USA,2020,42627
28660,Philippine Airlines,50.368,22.888,0.0,0.0,44136,11,58,107,Philippines,2020,42847
28721,Solomon Airlines,2.468,5.814,0.0,0.0,44075,9,40,104,Solomon Islands,2020,42706
28784,Garuda Indonesia,232.207,192.782,61.851000000000006,0.0,44136,11,435,663,Indonesia,2020,42831
28957,Polar Air Cargo,831.03,531.79,0.0,13.302999999999999,44105,10,0,0,Japan,2020,42770
29034,Fiji Airways,288.374,131.907,0.152,6.7589999999999995,44044,8,0,0,Fiji,2020,42600
29184,Emirates,0.0,192.275,0.0,0.0,44044,8,0,277,Thailand,2020,42590
29364,Air New Zealand,1541.749,1572.881,167.946,92.46799999999999,44013,7,4905,5169,New Zealand,2020,42506
29493,Eva Air,518.673,645.056,0.0,0.0,44075,9,0,128,Taiwan,2020,42670
29497,United Parcel Service,1484.4279999999999,0,0.0,0.0,44136,11,0,0,USA,2020,42879
29547,Nauru Airlines,0.0,61.044,0.0,0.0,44136,11,0,0,Solomon Islands,2020,42845
29555,Polar Air Cargo,0.0,433.738,0.0,0.0,44105,10,0,0,Korea,2020,42771
29830,Qantas Airways,0.0,205.52,0.0,0.004,44013,7,0,0,Thailand,2020,42549
29834,Qantas Airways,122.431,156.168,0.0,0.0,44136,11,0,0,Japan,2020,42854
29835,United Parcel Service,0.0,28.911,0.0,0.0,44136,11,0,0,Singapore,2020,42878
29934,Emirates,0.0,98.3,0.0,11.785,44136,11,0,0,Cambodia,2020,42817
